"","symbol","date","open","high","low","close","volume","adjusted"
"1","MSFT",2020-07-01,203.139999,206.350006,201.770004,204.699997,32061200,203.673141
"2","MSFT",2020-07-02,205.679993,208.020004,205,206.259995,29315800,205.225311
"3","MSFT",2020-07-06,208.830002,211.130005,208.089996,210.699997,31897600,209.643036
"4","MSFT",2020-07-07,210.449997,214.669998,207.990005,208.25,33600700,207.205322
"5","MSFT",2020-07-08,210.070007,213.259995,208.690002,212.830002,33600000,211.76236
"6","MSFT",2020-07-09,216.330002,216.380005,211.470001,214.320007,33121700,213.244904
"7","MSFT",2020-07-10,213.619995,214.080002,211.080002,213.669998,26177600,212.598145
"8","MSFT",2020-07-13,214.479996,215.800003,206.5,207.070007,38135600,206.03125
"9","MSFT",2020-07-14,206.130005,208.850006,202.029999,208.350006,37591800,207.30484
"10","MSFT",2020-07-15,209.559998,211.330002,205.029999,208.039993,32179400,206.996368
"11","MSFT",2020-07-16,205.399994,205.699997,202.309998,203.919998,29940700,202.897049
"12","MSFT",2020-07-17,204.470001,205.039993,201.389999,202.880005,31635300,201.862274
"13","MSFT",2020-07-20,205,212.300003,203.009995,211.600006,36884800,210.538528
"14","MSFT",2020-07-21,213.660004,213.940002,208.029999,208.75,38105800,207.70282
"15","MSFT",2020-07-22,209.199997,212.300003,208.389999,211.75,49605700,210.687775
"16","MSFT",2020-07-23,207.190002,210.919998,202.149994,202.539993,67457000,201.523972
"17","MSFT",2020-07-24,200.419998,202.860001,197.509995,201.300003,39827000,200.290207
"18","MSFT",2020-07-27,201.470001,203.970001,200.860001,203.850006,30160900,202.827408
"19","MSFT",2020-07-28,203.610001,204.699997,201.740005,202.020004,23251400,201.006592
"20","MSFT",2020-07-29,202.5,204.649994,202.009995,204.059998,19632600,203.036346
"21","MSFT",2020-07-30,201,204.460007,199.570007,203.899994,25079600,202.877151
"22","MSFT",2020-07-31,204.399994,205.100006,199.009995,205.009995,51248000,203.981583
"23","MSFT",2020-08-03,211.520004,217.639999,210.440002,216.539993,78983000,215.453751
"24","MSFT",2020-08-04,214.169998,214.770004,210.309998,213.289993,49280100,212.220047
"25","MSFT",2020-08-05,214.899994,215,211.570007,212.940002,28858600,211.871811
"26","MSFT",2020-08-06,212.339996,216.369995,211.550003,216.350006,32656800,215.264709
"27","MSFT",2020-08-07,214.850006,215.699997,210.929993,212.479996,27789600,211.414124
"28","MSFT",2020-08-10,211.669998,211.880005,206.350006,208.25,36716500,207.205322
"29","MSFT",2020-08-11,207.160004,207.649994,203.139999,203.380005,36446500,202.359772
"30","MSFT",2020-08-12,205.289993,210.279999,204.75,209.190002,28041400,208.140625
"31","MSFT",2020-08-13,209.440002,211.350006,208.149994,208.699997,22588900,207.653061
"32","MSFT",2020-08-14,208.759995,209.589996,207.509995,208.899994,17958900,207.852066
"33","MSFT",2020-08-17,209.600006,211.190002,208.919998,210.279999,20184800,209.225143
"34","MSFT",2020-08-18,210.529999,212.360001,209.210007,211.490005,21336200,210.429092
"35","MSFT",2020-08-19,211.490005,212.100006,209.25,209.699997,27627600,209.15242
"36","MSFT",2020-08-20,209.539993,215,208.910004,214.580002,26981500,214.019684
"37","MSFT",2020-08-21,213.860001,216.25,212.850006,213.020004,36249300,212.46376
"38","MSFT",2020-08-24,214.789993,215.520004,212.429993,213.690002,25460100,213.132004
"39","MSFT",2020-08-25,213.100006,216.610001,213.100006,216.470001,23043700,215.904755
"40","MSFT",2020-08-26,217.880005,222.089996,217.360001,221.149994,39600800,220.572525
"41","MSFT",2020-08-27,222.889999,231.149994,219.399994,226.580002,57602200,225.988358
"42","MSFT",2020-08-28,228.179993,230.639999,226.580002,228.910004,26292900,228.312271
"43","MSFT",2020-08-31,227,228.699997,224.309998,225.529999,28774200,224.941086
"44","MSFT",2020-09-01,225.509995,227.449997,224.429993,227.270004,25791200,226.676559
"45","MSFT",2020-09-02,227.970001,232.860001,227.350006,231.649994,34080800,231.045105
"46","MSFT",2020-09-03,229.270004,229.309998,214.960007,217.300003,58400300,216.73259
"47","MSFT",2020-09-04,215.100006,218.360001,205.190002,214.25,59664100,213.690552
"48","MSFT",2020-09-08,206.5,210.029999,202.199997,202.660004,52924300,202.130814
